year,month,decimal_date,ppm,fold
1976,10,1976.7917,328.72,6
1976,12,1976.9583,331.62,9
1977,1,1977.0417,332.68,0
1977,2,1977.1250,333.17,7
1977,3,1977.2083,334.96,7
1977,4,1977.2917,336.14,6
1977,6,1977.4583,336.17,4
1977,7,1977.5417,334.89,3
1977,8,1977.6250,332.56,2
1977,9,1977.7083,331.29,1
1977,11,1977.8750,332.46,6
1978,1,1978.0417,334.94,6
1978,2,1978.1250,335.26,5
1978,3,1978.2083,336.66,1
1978,4,1978.2917,337.69,4
1978,5,1978.3750,338.02,2
1978,6,1978.4583,338.01,3
1978,7,1978.5417,336.50,3
1978,8,1978.6250,334.42,1
1978,9,1978.7083,332.36,8
1978,10,1978.7917,332.45,4
1978,11,1978.8750,333.76,5
1979,2,1979.1250,336.69,5
1979,5,1979.3750,339.24,1
1979,6,1979.4583,339.26,2
1979,8,1979.6250,335.72,4
1979,9,1979.7083,333.97,7
1979,10,1979.7917,334.24,4
1979,11,1979.8750,335.32,8
1979,12,1979.9583,336.81,9
1980,1,1980.0417,337.90,7
1980,3,1980.2083,340.07,2
1980,4,1980.2917,340.93,0
1980,9,1980.7083,336.25,2
1980,10,1980.7917,336.14,4
1980,11,1980.8750,337.30,5
1981,1,1981.0417,339.29,5
1981,2,1981.1250,340.55,4
1981,3,1981.2083,341.63,9
1981,4,1981.2917,342.60,1
1981,5,1981.3750,343.04,0
1981,6,1981.4583,342.54,6
1981,9,1981.7083,336.95,4
1981,10,1981.7917,337.05,9
1981,11,1981.8750,338.58,6
1981,12,1981.9583,339.91,6
1982,2,1982.1250,341.76,5
1982,4,1982.2917,343.96,2
1982,8,1982.6250,340.24,9
1982,9,1982.7083,338.37,8
1982,10,1982.7917,338.41,1
1982,11,1982.8750,339.44,8
1982,12,1982.9583,340.78,2
1983,1,1983.0417,341.57,8
1983,2,1983.1250,342.78,1
1983,4,1983.2917,345.40,5
1983,6,1983.4583,345.76,0
1983,7,1983.5417,344.32,5
1983,8,1983.6250,342.51,9
1983,9,1983.7083,340.46,2
1983,10,1983.7917,340.53,3
1983,11,1983.8750,341.79,6
1983,12,1983.9583,343.20,3
1984,1,1984.0417,344.21,0
1984,2,1984.1250,344.92,9
1984,3,1984.2083,345.68,7
1984,4,1984.2917,347.37,4
1984,5,1984.3750,347.77,1
1984,8,1984.6250,343.74,1
1984,9,1984.7083,341.59,8
1984,10,1984.7917,341.86,4
1984,11,1984.8750,343.31,4
1985,2,1985.1250,346.41,1
1985,3,1985.2083,347.91,8
1985,4,1985.2917,348.66,9
1985,5,1985.3750,349.28,3
1985,7,1985.5417,346.90,2
1985,10,1985.7917,343.35,3
1985,11,1985.8750,344.73,7
1985,12,1985.9583,346.12,8
1986,1,1986.0417,346.78,3
1986,3,1986.2083,348.25,4
1986,6,1986.4583,349.98,7
1986,8,1986.6250,346.17,2
1986,10,1986.7917,344.82,2
1986,11,1986.8750,346.22,9
1986,12,1986.9583,347.48,3
1987,1,1987.0417,348.73,1
1987,2,1987.1250,348.92,4
1987,3,1987.2083,349.81,4
1987,4,1987.2917,351.40,6
1987,5,1987.3750,352.15,9
1987,7,1987.5417,350.21,2
1987,8,1987.6250,348.20,6
1987,10,1987.7917,346.72,8
1987,11,1987.8750,348.08,9
1988,2,1988.1250,351.70,3
1988,5,1988.3750,354.35,9
1988,6,1988.4583,353.88,0
1988,8,1988.6250,350.49,4
1988,10,1988.7917,349.37,0
1988,11,1988.8750,350.42,6
1988,12,1988.9583,351.62,2
1989,1,1989.0417,353.07,8
1989,2,1989.1250,353.43,6
1989,4,1989.2917,355.72,6
1989,6,1989.4583,355.44,3
1989,7,1989.5417,354.05,6
1989,8,1989.6250,351.84,4
1989,9,1989.7083,350.09,8
1989,10,1989.7917,350.33,2
1989,11,1989.8750,351.55,7
1990,4,1990.2917,356.38,7
1990,6,1990.4583,356.39,8
1990,7,1990.5417,354.89,0
1990,8,1990.6250,353.06,5
1990,9,1990.7083,351.38,1
1990,10,1990.7917,351.69,0
1990,12,1990.9583,354.41,0
1991,1,1991.0417,354.93,8
1991,2,1991.1250,355.82,8
1991,3,1991.2083,357.33,6
1991,5,1991.3750,359.23,3
1991,6,1991.4583,358.23,9
1991,7,1991.5417,356.30,4
1991,9,1991.7083,352.34,2
1991,10,1991.7917,352.43,3
1991,12,1991.9583,355.21,9
1992,1,1992.0417,356.34,2
1992,2,1992.1250,357.21,0
1992,3,1992.2083,357.97,7
1992,4,1992.2917,359.22,0
1992,5,1992.3750,359.71,7
1992,6,1992.4583,359.44,2
1992,7,1992.5417,357.15,4
1992,10,1992.7917,353.40,2
1992,12,1992.9583,355.68,8
1993,2,1993.1250,357.42,9
1993,3,1993.2083,358.59,8
1993,4,1993.2917,359.39,0
1993,5,1993.3750,360.30,7
1993,6,1993.4583,359.64,8
1993,8,1993.6250,355.76,3
1993,10,1993.7917,354.23,3
1993,12,1993.9583,357.03,8
1994,1,1994.0417,358.36,4
1994,2,1994.1250,359.04,9
1994,3,1994.2083,360.11,9
1994,4,1994.2917,361.36,1
1994,6,1994.4583,360.94,4
1994,7,1994.5417,359.51,3
1994,8,1994.6250,357.59,9
1994,9,1994.7083,355.86,5
1994,10,1994.7917,356.21,3
1994,11,1994.8750,357.65,3
1994,12,1994.9583,359.10,9
1995,1,1995.0417,360.04,5
1995,3,1995.2083,361.98,7
1995,4,1995.2917,363.44,0
1995,5,1995.3750,363.83,7
1995,7,1995.5417,361.78,4
1995,8,1995.6250,359.33,8
1995,11,1995.8750,359.61,4
1995,12,1995.9583,360.82,9
1996,1,1996.0417,362.20,6
1996,2,1996.1250,363.36,0
1996,3,1996.2083,364.28,8
1996,4,1996.2917,364.69,5
1996,5,1996.3750,365.25,9
1996,6,1996.4583,365.06,9
1996,7,1996.5417,363.69,8
1996,9,1996.7083,359.69,7
1996,10,1996.7917,359.72,0
1996,11,1996.8750,361.04,4
1996,12,1996.9583,362.39,4
1997,1,1997.0417,363.24,9
1997,2,1997.1250,364.21,6
1997,3,1997.2083,364.65,5
1997,4,1997.2917,366.49,6
1997,5,1997.3750,366.77,0
1997,6,1997.4583,365.73,8
1997,7,1997.5417,364.46,1
1997,8,1997.6250,362.40,8
1997,9,1997.7083,360.44,1
1997,12,1997.9583,364.51,0
1998,2,1998.1250,366.10,8
1998,4,1998.2917,368.79,6
1998,5,1998.3750,369.56,2
1998,6,1998.4583,369.13,9
1998,7,1998.5417,367.98,5
1998,10,1998.7917,364.54,8
1998,11,1998.8750,365.67,9
1998,12,1998.9583,367.30,2
1999,1,1999.0417,368.35,8
1999,3,1999.2083,369.84,1
1999,4,1999.2917,371.15,6
1999,5,1999.3750,371.12,2
1999,6,1999.4583,370.46,2
1999,8,1999.6250,367.06,2
1999,9,1999.7083,364.95,2
1999,10,1999.7917,365.52,0
1999,12,1999.9583,368.26,5
2000,2,2000.1250,369.71,7
2000,3,2000.2083,370.75,5
2000,4,2000.2917,371.98,9
2000,6,2000.4583,371.87,7
2000,9,2000.7083,367.15,2
2000,10,2000.7917,367.18,3
2000,11,2000.8750,368.53,9
2000,12,2000.9583,369.83,4
2001,1,2001.0417,370.76,5
2001,4,2001.2917,373.55,9
2001,5,2001.3750,374.03,5
2001,6,2001.4583,373.40,1
2001,7,2001.5417,371.68,2
2001,8,2001.6250,369.78,4
2001,9,2001.7083,368.34,9
2001,10,2001.7917,368.61,8
2001,11,2001.8750,369.94,7
2002,1,2002.0417,372.70,0
2002,2,2002.1250,373.37,1
2002,3,2002.2083,374.30,3
2002,4,2002.2917,375.19,3
2002,6,2002.4583,375.69,2
2002,7,2002.5417,374.16,9
2002,9,2002.7083,370.92,0
2002,10,2002.7917,370.73,7
2002,11,2002.8750,372.43,4
2003,1,2003.0417,375.07,1
2003,2,2003.1250,375.82,8
2003,3,2003.2083,376.64,0
2003,5,2003.3750,378.78,4
2003,7,2003.5417,376.88,1
2003,8,2003.6250,374.57,6
2003,9,2003.7083,373.34,7
2003,11,2003.8750,374.84,8
2003,12,2003.9583,376.17,4
