MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
2.8393,18,5.12117,1.07975,1727,2.64877,33.38,-117.23,1.732
6.487,4,8.58768,1.20853,661,3.1327,33.47,-117.62,2.942
4.9618,7,6.15391,1.01624,4460,3.44934,38,-121.72,1.565
2.4123,24,4.68601,0.984073,1294,1.47213,35.35,-119.07,0.862
3.325,39,4.86943,1.09554,913,2.90764,34.22,-118.44,1.782
4.0693,16,5.53659,1.0208,4383,3.14419,32.86,-116.98,1.464
3.695,40,4.59355,0.96129,533,3.43871,34.22,-118.39,1.652
8.3695,37,7.45875,1.06271,941,3.10561,34.22,-118.21,5.00001
2.4405,35,4.66529,0.909091,474,1.95868,36.78,-119.75,0.743
3.8586,34,5.38513,0.981408,2470,3.28021,34.07,-117.69,1.36
3.2639,10,5.11562,1.08114,1335,2.70791,36.13,-120.37,0.864
1.8242,18,5.94586,1.35032,802,2.55414,41.95,-122.64,0.535
4.1734,39,6.39683,1.06349,640,2.03175,38.45,-122.7,2.405
1.4861,23,4.3254,1.03968,610,4.84127,33.93,-118.23,0.951
2.9485,29,5.37218,1.00752,672,2.52632,40.92,-124,0.988
3.1895,45,5.53333,1.16667,302,5.03333,34.04,-118.16,1.563
1.6521,36,4.06848,1.12161,2460,2.90437,38.52,-121.44,0.697
3.725,22,5.4399,1.0601,1395,3.35337,32.71,-117,1.235
2.6648,39,5.59871,1.00324,899,2.90939,36.4,-119.18,1.292
4.9286,13,6.52857,1.13117,1912,2.48312,38.12,-122.58,3.095
3.6007,35,4.43207,0.967391,862,2.34239,34.19,-118.4,2.618
1.9176,24,4.23469,0.969388,279,1.42347,33.02,-117.06,1.211
2.6491,5,4.48237,1.09446,2965,3.73426,33.84,-118.31,2.167
2.7546,40,3.42159,0.96144,1276,3.28021,37.32,-121.88,1.725
2.8007,40,4.24466,1.06602,953,1.85049,32.74,-117.25,2.571
5.6482,35,6.55159,1.06746,707,2.80556,33.9,-118.37,2.948
2.9135,27,5.34928,0.933014,647,3.09569,37.48,-120.89,1.594
6.7612,28,7.28571,1.06071,848,3.02857,34.2,-118.85,3.237
2.5988,28,5.43314,1.18314,1074,3.12209,32.58,-117.11,1.356
1.1853,16,3.99694,1.09786,961,2.93884,32.8,-115.57,0.726
3.7167,52,4.94,1.12,768,2.56,34.06,-118.34,3.273
3.6765,26,4.64904,0.980769,2059,4.94952,37.33,-121.84,1.636
4.5,46,5.5948,0.97026,857,3.18587,34.2,-118.15,1.842
3.1667,23,5.22553,1,569,2.42128,32.8,-115.64,1.25
2.3023,37,4.92695,1.01259,1265,3.1864,37.74,-120.93,0.919
2.415,16,4.92327,1.03019,1524,1.91698,34.71,-118.1,1.375
4.2312,22,4.48803,0.980616,3508,4,37.36,-121.83,1.838
5.2816,36,5.96517,1.00249,1261,3.13682,33.79,-117.96,2.218
4.5,50,5.56962,1.07911,741,2.34494,38.01,-122.14,1.783
4.7109,32,4.50839,1.04317,798,1.91367,34.05,-118.44,5
5.1538,23,6.78166,0.943231,778,3.39738,32.61,-117.03,1.713
5.273,35,5.88278,1.05861,829,3.03663,33.92,-118.01,1.876
2.1362,10,4.36229,1.07771,2352,2.688,32.72,-117,1.432
5.5362,30,5.49867,1.056,1089,2.904,34.22,-118.25,3.012
4.2115,34,5.47475,0.944444,561,2.83333,38.35,-122,1.189
4.3594,44,5.843,1.07167,691,2.35836,33.83,-118.12,2.213
5.0311,14,5.87282,1.01247,1883,4.69576,32.58,-117.04,1.521
3.311,17,5.41742,1.02402,1694,2.54354,38.56,-121.33,1.094
3.2188,34,4.62315,1.11276,1179,3.49852,33.93,-118.08,1.651
3.154,23,5.92331,1.07209,2082,3.19325,34.03,-117.08,1.157
4.0469,34,5.62893,1.07547,2786,4.3805,34.06,-117.97,1.668
9.0683,15,7.22624,1.03042,1992,3.78707,33.89,-117.97,3.674
5.0294,27,6.42788,1.00721,1176,2.82692,34.44,-119.8,2.802
4.7679,25,4.27513,0.862434,1066,5.64021,33.74,-117.9,1.731
2.7266,37,4.19894,1.03979,1776,4.71088,34.03,-118.2,1.408
5.5456,18,36.0755,5.27358,241,2.27358,39.19,-120.1,3.6
3.0078,25,4.91213,1.04745,1650,2.89982,34.17,-117.31,0.871
3.2763,29,4.48247,1.07179,1085,1.81135,34.17,-118.44,2.794
4.381,34,6.00576,0.976945,868,2.50144,36.15,-120.37,0.863
4.5303,36,5,0.926829,252,3.07317,37.65,-122.1,1.75
3.625,52,5.28571,1.125,143,2.55357,39.67,-120.24,0.686
6.2984,18,6.0228,0.934853,2046,3.33225,33.73,-117.97,2.698
3.2226,11,4.92727,1.06212,1814,2.74848,35.32,-120.83,1.832
4.5368,20,6.1131,1.00893,934,2.77976,38.43,-121.22,2.193
6.155,52,7.04808,0.994231,1470,2.82692,37.82,-122.24,3.986
3.6518,25,4.80682,1.01768,1821,2.29924,37.98,-122.3,1.643
1.7778,44,3.44845,0.943299,1765,4.54897,33.96,-118.24,1.099
6.3199,23,6.90941,0.97561,978,3.40767,34.3,-118.71,2.367
2.6779,26,5.46787,1.21285,1847,3.70884,34.1,-117.74,1.36
2.1917,43,4.84403,1.0918,4367,3.54752,37.79,-122.23,1.128
2.6182,34,3.234,0.986,1530,3.06,33.91,-118.3,1.726
1.913,35,2.96746,1.05423,2239,4.85683,34.02,-118.25,1.143
3.3977,34,5.16117,1.11722,819,3,34.07,-117.93,1.888
1.7451,23,3.64735,1.05894,2194,2.15521,38.6,-121.42,0.896
3.111,5,4.44125,1.31673,3591,2.2931,33.95,-118.37,2.476
2.1157,41,5.19957,1.00644,1813,3.89056,32.8,-117.14,1.569
4.4818,24,6.04118,1.05534,3566,4.58945,34.28,-118.39,1.662
2.1856,41,3.71899,1.06582,803,2.03291,32.76,-117.12,1.205
2.9187,15,6.32571,1.17143,1152,3.29143,33.67,-116.31,0.934
2.1289,52,3.02117,0.995114,1715,2.79316,37.75,-122.42,2.5
3.9107,40,6.5,1.14953,546,2.5514,38.43,-120.79,1.298
4.5341,44,5.45308,1.13405,1491,3.99732,37.7,-122.47,2.365
2.5651,27,3.79475,1.03777,2936,4.82102,33.75,-117.85,1.714
6.8645,23,7.30297,1.03903,1858,3.45353,33.72,-117.96,3.182
5.6356,33,5.6609,0.951557,866,2.99654,34.22,-118.62,2.413
2.6238,25,3.76598,1.08653,2328,2.28909,34.18,-118.43,2.1
3.5833,45,4.40833,0.933333,448,3.73333,33.93,-118.28,0.906
5.0923,16,7.17635,1.20405,3836,2.59189,33.91,-117.98,2.572
3.7316,13,5.5087,1.04685,2903,3.88621,36.85,-121.38,1.924
2.5213,42,3.81655,1.09172,1941,4.34228,34.09,-118.22,1.497
4.5987,37,3.59018,1.07239,1363,1.67239,37.45,-122.16,3.56
1.4792,37,4.41497,1,653,4.44218,33.95,-118.24,0.975
5.9316,20,6.56061,1.00337,4169,3.50926,34.24,-119.04,3.119
1.2059,18,2.53704,1.08974,1913,2.72507,33.98,-118.22,2.55
5.2729,13,6.55906,1.02362,405,3.18898,36.9,-121.68,3.229
3.5746,52,3.94543,1.02456,1785,2.4352,37.8,-122.41,3.5
1.875,33,3.58511,1.10638,565,3.00532,33.12,-117.08,1.143
7.611,5,6.85578,1.06144,7427,2.73252,37.72,-122.24,3.507
3.3438,16,5.22707,0.977444,2126,3.19699,37.7,-121.02,1.254
3.0042,28,5.67707,1.17161,2362,3.68487,38.01,-121.89,1.039
7.6344,14,7.66207,0.97931,472,3.25517,32.65,-117.03,2.905
3.3955,19,3.52474,1.10345,2636,1.97601,34.02,-118.41,2.25
3.3929,31,6.9517,1.32102,1313,3.73011,37.21,-120.24,0.938
5.5968,23,5.78387,1.02903,1145,3.69355,37.4,-121.85,2.432
2.5742,25,4.72137,0.979008,1947,3.71565,38.03,-121.32,0.984
3.7969,14,5.1056,1.30172,1546,3.3319,33.91,-118.09,1.594
3.5781,49,4.41944,0.895141,1146,2.93095,37.35,-121.88,1.93
3.0893,22,3.8593,1.07313,2519,2.00238,34.2,-118.46,2.056
2.8258,37,4.23867,1.1148,1587,4.79456,37.47,-122.2,2.328
3.6042,13,4.46196,1.14946,841,2.28533,33.66,-117.9,2.26
3.225,21,4.51487,1.07621,1011,1.87918,32.8,-117.23,2.294
4.2841,46,6.52139,1.14706,944,2.52406,33.84,-118.13,3.124
2.3575,44,3.74757,1.06796,3260,4.5215,34.02,-118.19,1.448
5.5918,20,6.19385,0.996923,1997,3.07231,33.9,-117.85,2.605
3.3452,23,5.57336,1.04247,1508,2.9112,34.26,-119.21,2.176
5.5777,21,7.51832,1.05292,2214,3.00407,37.94,-122.03,2.793
2.6389,45,5.49718,1.0339,500,2.82486,35.07,-119.45,0.3
2.7794,52,3.49042,1.04792,1266,2.02236,37.77,-122.42,3.5
3.4394,12,9.79921,2.01739,2548,2.01423,33.81,-116.52,1.622
4.2621,4,3.53494,1.03812,1309,1.66328,32.78,-117.12,1.242
2.1779,36,4.49062,1.03438,1073,3.35312,37.6,-120.98,0.584
3.1213,27,4.43413,0.99568,1737,3.75162,34.1,-117.32,0.788
4.2192,14,5.81633,1.05495,3597,2.82339,32.74,-116.97,1.761
1.3269,19,3.98758,1.15321,1190,2.46377,33.2,-117.36,1.661
2.3156,51,3.96392,1.01546,1173,3.0232,34.07,-117.76,1.098
6.5217,52,6.39935,1.08766,765,2.48377,37.81,-122.22,2.737
5.7578,20,6.63037,1.0377,2668,2.79372,36.58,-121.86,3.477
1.1875,17,3.01761,1.00704,1590,2.7993,34.06,-118.13,1.839
2.8622,26,4.5165,1.0132,1877,3.09736,33.79,-117.92,1.843
5.7621,9,6.49067,0.984,2036,2.71467,38.5,-121.55,2.046
14.2867,49,7.60377,0.946541,850,2.67296,34.07,-118.46,5.00001
5.1129,14,5.70648,1.00683,704,2.40273,33.53,-117.72,2.513
5.2308,33,5.2346,1.00131,2721,3.56619,37.52,-121.95,1.969
3.1729,45,5.21964,1.07857,1903,3.39821,34.14,-118.08,2.187
2.6343,14,4.69631,1.03691,2294,3.84899,37.73,-120.93,0.815
2.537,24,4.63731,1.17617,1137,2.9456,37.75,-122.16,1.079
3.1167,20,4.5272,1.05959,2186,2.83161,36.96,-121.98,2.583
3.1442,50,4.70871,0.906907,1093,3.28228,34.09,-118.16,1.621
7.7569,6,7.97273,1.02987,2693,3.4974,33,-117.03,3.874
2.6598,50,4.8036,1.1045,1768,3.18559,36.85,-121.4,1.573
3.3125,27,4.14908,1.03679,2863,2.77154,34.19,-118.58,2.228
2.6042,29,4.13873,1.23699,422,2.43931,33.43,-118.48,2.875
5.9547,18,6.54733,1.10288,547,2.25103,32.95,-117.24,3.293
5.4446,37,6.17669,0.984962,620,2.33083,37.81,-122.18,3.367
2.2679,36,3.25106,1.03404,1824,3.88085,33.93,-118.34,1.539
1,45,4,1.21569,133,2.60784,39.2,-121.07,0.906
3.5114,52,6.37276,1.14695,795,2.84946,33.97,-118.32,1.388
4.2188,20,4.55288,1.02811,1497,2.00402,37.38,-122.06,5.00001
5.5402,20,6.56176,1.12521,1651,2.79357,34.22,-118.89,2.646
2.7121,29,4.16372,1.08702,1723,2.5413,33.89,-118.13,1.655
2.6083,52,3.74618,1.07824,1628,3.10687,37.77,-122.41,1.938
0.76,10,2.65152,1.05455,546,1.65455,37.81,-122.27,1.625
5.1805,36,5.94513,1.05487,1522,2.69381,33.79,-118.1,2.494
1.4529,25,4.08748,0.987993,1234,2.11664,37.49,-120.84,0.861
4.8836,16,6.52336,1.01869,1628,3.04299,33.06,-116.93,2.399
2.4205,43,4.43396,1.1195,464,2.91824,38.61,-121.46,0.609
3.6298,19,5.55832,1.04044,1373,2.1353,38.64,-121.28,2.421
5.0155,19,5.46821,1.05202,474,2.73988,38.68,-121.47,0.973
4.25,44,3.80049,1.14039,652,1.60591,33.76,-118.13,4.393
2.8973,8,4.51839,1.01672,2033,2.26644,38.71,-121.28,1.171
6.2513,14,6.24462,1.00269,1057,2.8414,33.05,-117.26,2.409
3.6937,33,6.56332,1.23144,652,2.84716,38.64,-121.39,0.993
3.662,23,4.0083,1.14523,997,2.06846,37.27,-121.94,2.119
4.3424,43,5.26178,1.04188,723,3.78534,33.82,-118.21,1.625
2.6875,45,4.21277,1.07979,872,4.6383,34.02,-118.21,1.297
4.625,36,24.5,3.5,28,14,36.51,-119.54,1.625
3.025,25,3.98238,0.969163,1342,2.95595,33.88,-117.87,1.569
3.2219,31,4.82596,1.12094,1468,4.33038,36.51,-121.44,1.147
4.8906,16,6.40421,1.10316,1516,3.19158,34.02,-117.67,1.785
3.1033,25,3.6114,1.03168,1718,1.81415,34.14,-118.12,2.179
5.1874,42,5.93464,1.10458,897,2.93137,33.89,-118.33,2.308
4.0519,7,5.92776,1.06232,2147,3.04108,38.75,-121.31,1.292
3.4398,35,5.50512,1.01706,911,3.10922,34.08,-117.74,1.343
5.5181,25,6.8937,1,1713,3.37205,34.18,-118.94,2.421
2.8173,21,5.52406,1.04278,588,3.14439,35.37,-120.85,2.269
4.1359,17,4.60734,1.06356,1879,2.65395,34.22,-118.57,2.552
1.8316,40,3.78339,1.07655,1847,3.00814,34.03,-118.36,1.135
6.7805,27,7.91393,1.06967,736,3.01639,34.19,-118.86,3.929
2.375,26,6.48,1.08,86,3.44,37.65,-122.12,1.375
3.8618,41,6.34572,1.02602,660,2.45353,33.97,-117.4,1.348
1.9076,32,3.78958,0.980695,2052,3.96139,36.71,-119.55,0.558
3.3562,40,4.65676,1,1221,3.3,33.98,-118.06,1.692
2.5677,16,4.32613,1.15119,5110,3.67891,34.07,-117.62,1.289
5.3462,46,6.75,0.998016,1389,2.75595,34,-118.35,2.704
3.5667,28,4.61634,1.04155,2026,2.80609,33.88,-117.87,1.907
4.05,35,4.07474,1.08763,580,1.49485,37.76,-122.44,4.231
2.0154,23,5.60619,1.10928,930,1.91753,33.75,-116.89,0.817
4.625,52,4.78571,1.09271,1145,1.74012,37.8,-122.44,5.00001
2.6518,40,5.57372,1.01923,744,2.38462,38.29,-122.3,1.561
2.9688,24,5.52688,0.994624,471,2.53226,39.52,-121.53,0.864
8.5759,32,6.75141,0.949153,810,2.28814,37.98,-122.53,5.00001
3.3661,45,4.89791,0.971204,1315,3.44241,33.94,-118.19,1.608
2.558,15,3.85185,0.959064,2024,1.97271,37.32,-120.47,1.216
4.1369,34,6.25,1.09115,1017,2.64844,37.36,-122.05,3.169
2.6399,34,4.80901,1.16577,1341,2.41622,37.91,-122.32,1.196
2.9491,49,4.93972,1.02837,605,2.14539,34.16,-118.28,2.574
5.1408,33,5.35986,0.913495,881,3.04844,34.27,-118.47,2.229
3.7125,8,6.13953,1.04651,782,2.27326,39.23,-121.18,1.75
3.775,25,5.6,1.11123,2725,2.91444,33.72,-116.24,0.934
2.8941,39,5.50305,1.31568,1136,2.31365,36.97,-122,2.567
10.3713,18,7.9476,0.960699,728,3.17904,37.87,-122.13,4.261
3.3929,39,6.65663,1.08434,408,2.45783,39.48,-121.79,0.821
2.3,37,4.28986,1.05072,1320,4.78261,33.98,-118.15,1.656
6.0471,17,6.53585,0.979245,1713,3.23208,33.61,-117.66,2.484
2.9063,9,4.40909,0.909091,91,4.13636,37.08,-120.79,0.55
3.665,52,4.08824,0.852941,523,3.07647,34.07,-118.14,2.204
4.5781,52,4.64691,1.12629,787,2.02835,34.11,-118.28,3.605
5.7115,16,6.17742,0.967742,679,2.7379,33.69,-117.79,3.139
1.9779,15,5.79149,1.19191,2709,2.81017,34.15,-116.39,0.733
2.5781,47,5.17073,1.06829,496,2.41951,37.97,-120.38,1.048
5.316,33,5.21086,1.06709,1411,2.25399,37.43,-122.12,3.981
3.2917,29,5.79249,1.05731,1954,3.86166,36.93,-121.73,2.247
3.3989,25,3.88329,1.0974,1739,1.46012,34.08,-118.38,4.85
4.4722,44,5.48538,1.05848,502,2.93567,33.92,-118.37,2.183
3.434,17,5.35294,1.04856,6990,2.75957,32.78,-116.94,1.932
4.3227,16,5.7117,1.00775,3575,3.07659,37.01,-121.59,2.515
2.1324,36,3.67119,1.15932,1023,3.4678,34.03,-118.36,1.438
2.2202,13,5.49414,1.13086,1385,2.70508,36.71,-119.25,1
3.75,52,6.11765,1.17647,32,1.88235,34.09,-118.25,2.417
2.5441,41,5.33333,1.17803,793,3.00379,34.37,-119.29,1.612
5.5469,16,6.2264,1.00588,10988,3.58968,33.96,-117.88,2.652
3.8158,43,4.91885,1.03927,873,2.28534,34.06,-118.39,5.00001
3.6618,23,4.59163,1.07171,2493,4.96614,33.72,-117.89,1.835
2.3687,31,4.81556,1.07205,1371,3.95101,36.7,-119.55,0.639
2.0331,37,4.82466,1.2137,911,2.49589,35.41,-119.03,0.532
2.9821,20,3.63953,1.06202,1461,2.8314,33.97,-118.1,1.425
5.0424,45,5.54035,0.975439,687,2.41053,33.83,-118.12,2.259
3.5179,15,6.14583,1.1412,1200,2.77778,39.33,-121.4,1.072
3.3036,52,8.725,1.475,121,3.025,37.7,-121.04,1.975
8.6454,31,8.0624,1.01065,1986,3.02283,34.24,-118.51,4.835
4.525,36,4.59091,0.875,237,2.69318,37.98,-122,1.613
4.8125,34,5.87342,1.05538,1521,2.40665,33.67,-118,3.878
2.8608,30,3.64134,1.05251,2744,3.06592,33.91,-118.08,1.656
2.1563,52,4.58501,1.07493,1118,3.2219,37.8,-122.24,1.286
2.5301,24,3.45297,0.980198,1478,3.65842,33.64,-117.93,1.929
2.5809,32,5.4797,0.99262,867,3.19926,36.7,-119.89,0.783
6.556,14,5.92571,0.948571,1178,2.24381,37.99,-121.34,2.347
3.5982,35,5.19764,1.03245,686,2.0236,38.29,-122.46,2.717
2.6536,22,4.99393,1.12348,1567,3.17206,34.08,-117.19,0.847
3.4456,5,4.65,1.10172,1633,2.81552,33.19,-117.28,1.658
3.505,28,4.41076,1.05492,2517,2.87986,34.06,-118.15,2.043
1.6991,17,6.37406,1.46384,1005,2.50623,34.89,-114.65,0.691
3.0147,13,5.93819,1.4011,2566,3.52473,38.46,-122.75,1.428
2.5373,18,4.73489,1.03132,2954,2.15149,38.91,-121.06,1.43
3.5,44,5.57277,1.16432,1087,2.55164,37.74,-122.5,2.757
3.125,11,47.5152,11.1818,82,2.48485,38.42,-120.19,0.775
4.0687,38,4.83208,1.07519,1358,3.40351,33.84,-118.22,1.603
5.1626,40,6.06719,1.12648,1264,2.49802,33.83,-118.38,4.327
1.4097,37,4.01799,1.10345,1925,2.88606,37.76,-122.2,0.846
2.875,16,4.80834,1.06519,1969,2.56714,32.82,-116.77,2.229
2.4949,44,5.31828,1.08804,1043,2.3544,38.12,-121.27,1.08
5.078,26,5.92268,0.994845,500,2.57732,38.66,-121.32,1.634
2.0734,21,3.83361,1.08809,1621,2.64437,32.59,-117.1,0.875
6.6131,17,7.35834,1.06598,2111,2.73092,37.79,-121.97,3.125
1.2101,40,3.97822,1.02772,2219,4.39406,36.76,-119.77,0.491
6.0302,52,5.82031,0.929688,634,2.47656,37.81,-122.24,2.873
3.1538,19,4.32826,1.14783,1202,2.61304,33.82,-117.99,2.521
1.9417,32,7.64706,2.24064,434,2.32086,40.28,-124.25,0.761
1.1765,36,5.32704,1.33333,567,3.56604,37.74,-122.19,0.871
4.1875,6,5.81636,1.03241,2061,3.18056,36.84,-121.38,2.176
2.1468,33,3.20339,1.05932,1615,4.56215,33.99,-118.2,1.417
4.0469,33,5.59706,1.13529,1187,3.49118,34.1,-118.22,1.966
3.1719,42,5,1,256,2.75269,37.88,-121.26,1.583
6.1256,16,5.41554,0.969595,1080,3.64865,37.41,-121.86,2.669
2.5343,39,4.21693,1.13757,1668,4.4127,34.09,-118.2,1.382
4.2348,25,6.02035,1.0518,3259,3.0148,37.99,-122.31,1.578
2.2813,21,5.20727,1.03273,862,3.13455,39.42,-121.71,0.576
2.7955,36,3.67297,0.856757,1557,4.20811,34.05,-118.03,1.575
4.1716,11,5.47214,1.01069,5247,2.95273,32.85,-116.96,1.661
1.5026,38,3.19282,0.994329,1071,2.02457,38.43,-122.71,1.24
3.875,28,5.76712,1.13242,601,2.74429,34.1,-117.67,1.74
2.5164,36,4.1813,1.01336,1563,2.98282,37.96,-122.35,1.142
4.7222,36,5.712,1.072,825,3.3,33.84,-118.3,2.396
1.7727,31,4.96194,0.979239,811,2.80623,39.44,-121.55,0.49
4.6821,8,5.39331,0.983264,867,3.62762,37.82,-121.23,1.385
1.8652,35,3.49853,1.04106,1784,5.23167,34.01,-118.27,1.161
2.3882,21,5.62577,1.23108,1496,3.0593,36.16,-119.35,0.492
7.457,30,6.7596,0.983838,1296,2.61818,34.16,-118.63,3.927
2.2,34,3.97297,1.03041,1127,1.90372,38.62,-121.38,1.165
2.7316,46,4.1813,0.974504,688,1.94901,38.56,-121.48,1.347
5.2713,36,5.88415,1.07927,915,2.78963,33.82,-118.1,2.444
3.049,33,3.17123,1.06393,2923,2.22451,37.7,-122.48,3.07
2.8438,33,5.46631,1.13747,1727,4.65499,34.05,-117.97,1.576
4.2031,8,5.52083,1.13542,398,4.14583,38.55,-121.13,2.125
4.3882,24,5.08214,1.01528,4011,3.83095,33.74,-117.92,1.893
6.0336,10,6.26032,0.978456,1410,2.53142,33.11,-117.24,2.403
5.5418,36,5.84746,0.953995,1215,2.94189,34.17,-118.07,3.261
2.0066,16,5.68957,1.1145,1361,3.4631,37.2,-120.64,1.25
7.6107,33,7.55417,1.04583,1348,2.80833,37.88,-122.17,4.232
2.9085,21,3.96292,1.10251,1985,2.16467,36.6,-121.86,1.563
6.0394,16,6.29874,0.943396,1172,3.68553,33.88,-117.97,3.216
3.1728,17,6.52427,1.31715,1749,2.8301,38.01,-121.79,1.468
4.5606,31,4.4376,1.05213,1316,2.07899,33.71,-118.29,3.038
2.3526,48,3.80707,1.05466,953,3.06431,34.04,-118.32,1.563
5.1149,39,5.87805,1.02764,1571,2.55447,37.71,-122.48,3.142
2.7069,18,5.06592,1.03366,1864,2.61431,32.84,-116.9,1.538
3.1887,16,3.79831,1.04329,3687,1.94667,34.18,-118.53,1.893
2.6014,15,4.0992,1.0992,1839,2.09692,34.14,-117.97,1.503
2.25,33,4.92443,1.00252,1412,3.55668,36.2,-119.36,0.515
1.7,48,2.86,0.82,222,4.44,33.79,-118.22,1.042
3.8906,31,4.76726,1.00592,1102,2.17357,34.18,-118.43,2.822
5.551,17,6.88131,1.03264,1125,3.33828,32.67,-117.01,2.669
4.2407,39,4.76937,1.10991,1254,2.25946,37.57,-122.34,4.338
3.8,36,5.40323,0.987903,789,3.18145,37.64,-122.08,1.72
3.3558,29,3.98649,0.943243,965,2.60811,33.92,-118.34,1.996
1.8533,15,4.9031,1.07806,1784,2.40108,41.72,-122.65,0.575
6.3132,18,6.73536,0.990632,1395,3.26698,37.69,-121.91,2.592
1.8894,39,5.22857,1.13714,580,3.31429,36.04,-119.4,1.125
3.5893,26,5.41155,1.04693,755,2.72563,33.84,-117.88,2.385
2.4074,24,3.33333,1.0504,2522,2.88889,34.17,-118.31,2.194
2.2264,11,2.89942,1.05263,2466,2.88421,34.19,-118.45,1.813
4.2721,18,5.79515,1.04672,3716,3.33872,33.87,-117.6,1.503
3.4125,37,5.29442,0.994924,555,2.81726,37.62,-121.05,1.25
1.9923,42,2.9171,1.03229,3480,3.03665,34.05,-118.32,2.5
1.9472,40,5.02649,1.09934,1391,3.07064,33.93,-116.98,0.732
3.4722,40,4.94465,1.15498,766,2.82657,37.66,-122.09,1.354
2.6875,22,5.88969,1.18945,1720,4.1247,36.77,-119.69,0.606
5.37,26,6.12758,0.921201,1222,2.29268,37.76,-122.13,2.754
3.7162,16,4.91652,1.06572,1182,2.09947,33.74,-117.95,2.012
5.2485,35,5.73734,0.990506,825,2.61076,33.94,-118.12,3.238
1.9773,21,5.84151,1.09434,744,2.80755,40.07,-122.19,0.55
3.148,22,5.17054,1,1520,3.92765,37.64,-121.03,1.023
2.5437,6,4.50613,1.07822,2877,2.20629,35.46,-120.64,1.464
10.9506,20,7.61047,1.06977,514,2.98837,37.64,-121.88,4.758
4.5208,10,6.23324,1.0992,1016,2.72386,39.37,-120.1,1.173
2.035,19,5.06073,1.03036,1293,2.61741,40.16,-122.24,0.551
4.1282,7,5.14452,1.09871,2904,1.87355,33.11,-117.31,1.881
2.2071,35,5.19403,0.993603,1730,3.6887,37.41,-120.79,0.859
3.3939,23,3.74061,1.02113,1977,2.32042,33.78,-117.85,2.121
3.3571,14,5.22794,1.10662,1613,2.96507,38.3,-122.49,1.936
2.9375,45,4.49233,1.15798,1635,2.50767,33.83,-118.31,2.73
3.0114,16,7.84746,1.60169,238,2.01695,33.68,-116.25,3.667
